estimate,se,geoid,layer,topic
54.004097865901066,10.455888590496071,1701010,place,obesity
19.931679298317064,3.60420756685316,1702154,place,obesity
7.0765250406902105,1.684614667805638,1703844,place,obesity
0.7937979989785928,0.1876867350125432,1703883,place,obesity
37.6100174697821,11.069520959141018,1704013,place,obesity
2.6594909694042146,0.7321153153827876,1704572,place,obesity
55.39150100158052,10.045690188151262,1704975,place,obesity
8.367808544330838,2.1646807219267186,1705404,place,obesity
33.071057847432705,6.848135905462145,1705573,place,obesity
49.38717916860407,12.441883152586664,1706704,place,obesity
48.34617934639737,10.379524312938333,1708225,place,obesity
25.993969281218156,5.2584084593064055,1708446,place,obesity
38.88940621784363,11.04920857970656,1708576,place,obesity
29.10299756886255,9.304489256593726,1709447,place,obesity
33.24210801732387,7.863818999024375,1709642,place,obesity
8.894863929750116,2.5576957156279785,1709980,place,obesity
52.25561075307693,10.574155416650388,1710487,place,obesity
54.94178957284617,7.439868515905342,1710513,place,obesity
36.89271362505872,12.18557368465664,1714026,place,obesity
46.39081117037793,10.395513240825109,1714065,place,obesity
49.41196845283067,8.085989725087328,1714351,place,obesity
52.01056083304147,10.736685411950935,1716691,place,obesity
12.830032706886302,3.6892435842682776,1716873,place,obesity
40.60699624429381,11.981755665954754,1717497,place,obesity
33.4439743204323,5.542543484907354,1719642,place,obesity
8.274528842653407,2.1634228385623184,1720149,place,obesity
39.871542297970805,14.56252053715533,1720292,place,obesity
5.117224063614262,1.2306444304808963,1721904,place,obesity
29.47336202514273,7.016333255602863,1723074,place,obesity
25.044496628523007,5.670181433303981,1723256,place,obesity
43.01504811577008,11.493106501419245,1723724,place,obesity
26.30430620307631,4.414601611369314,1724582,place,obesity
43.988482699462,9.453394979610977,1724634,place,obesity
45.79079843630821,10.39517797511185,1726571,place,obesity
5.75383942922384,1.235675749744086,1726710,place,obesity
28.129495894870487,12.05814348326976,1726935,place,obesity
0.9118341213806548,0.21570528812237302,1726987,place,obesity
59.70054736098756,9.837814512144625,1727702,place,obesity
6.777446281752539,3.0166993160299365,1729652,place,obesity
17.885121573269704,4.728095881441901,1729938,place,obesity
9.186698994052648,3.8067113206482617,1730029,place,obesity
0.4017530824434738,0.17882373369497964,1730328,place,obesity
41.28156183107595,11.075839598041002,1732746,place,obesity
48.70998559416152,12.491740484557404,1733383,place,obesity
5.122032311576207,1.8516566020527816,1733435,place,obesity
66.40544540776084,9.33430468665404,1733695,place,obesity
25.99052818509628,9.192375669169987,1734514,place,obesity
12.893315607733769,3.335390812291831,1735086,place,obesity
4.0462619985735335,1.1634924446056778,1735307,place,obesity
2.5049021043803377,0.6621868043637613,1735385,place,obesity
19.48274076094656,4.606527110452523,1735411,place,obesity
10.11648339794333,2.174094387815858,1735866,place,obesity
29.666027842159757,10.320495741030706,1735879,place,obesity
8.423334923204939,2.422108737641594,1737257,place,obesity
12.59849966405528,3.8913249761843502,1737608,place,obesity
45.69732037223038,9.770231405166163,1738830,place,obesity
1.85169705285782,0.8242061981207441,1739519,place,obesity
30.9644073978264,9.609770861142076,1740767,place,obesity
42.738170293490455,10.546916299714953,1740793,place,obesity
55.97424176569261,11.520835221778832,1742028,place,obesity
39.112446551924,8.555674261161483,1742795,place,obesity
29.38890694284362,9.220158734954957,1743744,place,obesity
31.626215033343332,6.7919425721905915,1745421,place,obesity
17.912054812114835,4.735165623790738,1745434,place,obesity
0.7948371061712374,0.16079030169053082,1745564,place,obesity
48.33472685499733,10.053124669585086,1747007,place,obesity
47.77810668356547,12.086223381638119,1747540,place,obesity
58.15651505351752,10.32438346187936,1747774,place,obesity
42.34905731554275,8.149210451261393,1748242,place,obesity
15.81612702528294,2.1417195619910796,1748554,place,obesity
50.98931050756269,13.152913396649234,1748892,place,obesity
25.497117694549832,10.32769175929106,1750647,place,obesity
34.856536307649414,7.321231607396117,1751089,place,obesity
35.96557747665575,8.815549995186279,1753000,place,obesity
8.58720092414653,3.1043434162672394,1753377,place,obesity
21.580425027197,4.538889852020715,1753481,place,obesity
4.7441055480027225,2.1116419617173134,1753663,place,obesity
33.23633602394801,9.331153033959492,1753871,place,obesity
23.002346203216867,4.653222851436015,1754144,place,obesity
60.29769744910991,10.102139334016812,1754638,place,obesity
39.712792844735,6.3679127050383455,1754820,place,obesity
31.31714507630745,4.985329393488785,1754885,place,obesity
5.421416014488488,2.2464832830223056,1755938,place,obesity
3.364974032901319,0.5609195153478913,1756627,place,obesity
29.65312448626415,4.942985013481604,1756640,place,obesity
37.70241221914837,5.929321661527369,1757225,place,obesity
23.941667947720457,7.118227735412177,1757381,place,obesity
23.83813380579952,5.834887079571715,1757394,place,obesity
6.639225135545629,1.625090675191118,1757407,place,obesity
59.87430851648677,10.304730788533591,1757732,place,obesity
20.023081205313524,5.08620158893341,1757875,place,obesity
5.130506601897916,1.3414002618161665,1759572,place,obesity
15.65663332005674,4.093516228380776,1761314,place,obesity
34.972339492395115,11.357339562177,1762016,place,obesity
49.39243734109082,11.753326684948911,1763706,place,obesity
75.16799294378754,8.682773906679124,1764278,place,obesity
18.33127924075996,6.082878279386637,1764304,place,obesity
16.634401446813524,4.303177820326991,1764343,place,obesity
14.71920149793838,3.8911145412276618,1764421,place,obesity
13.531991211992755,3.5380164110784476,1764616,place,obesity
37.13833696145555,9.120377085861033,1765338,place,obesity
6.320025721974961,1.9520795807310012,1765806,place,obesity
13.945696763429488,2.4659958147103658,1765819,place,obesity
35.06117437960344,8.4318838573395265,1767769,place,obesity
30.98406347266461,4.683834812717165,1768003,place,obesity
41.54812940739943,7.346890941754249,1768081,place,obesity
34.05435800562321,5.977935206178516,1770122,place,obesity
1.850759891530559,0.4375963176784311,1770564,place,obesity
13.356337491357417,2.8683633852629824,1770629,place,obesity
35.638266275009755,10.36650580106658,1770850,place,obesity
4.370201701736196,1.810889450311311,1772520,place,obesity
7.963056234775717,1.8837563753987818,1772676,place,obesity
11.10854255765586,3.118740601101486,1772923,place,obesity
29.326759807462988,6.74282976490393,1773157,place,obesity
48.61024749458108,13.381623432736514,1773638,place,obesity
9.470090701625615,2.2774680633923863,1775185,place,obesity
37.04759372511981,7.029761321306554,1775484,place,obesity
54.91907775999936,10.230675797161206,1780047,place,obesity
21.023857071094746,8.343361268373226,1780242,place,obesity
35.50000339160823,9.574821853949087,1781087,place,obesity
7.764901309562622,1.9006237104975778,1782049,place,obesity
20.0742115692662,7.383878660316943,1782075,place,obesity
15.469908433075757,7.266649447965415,1782530,place,obesity
54.16080953909776,10.511808787041925,1783518,place,obesity
31.396120664,5.874464090499999,14,neighborhood,obesity
45.52213243600001,9.5605516857,18,neighborhood,obesity
24.067982773,5.2604214030000005,2,neighborhood,obesity
36.714882735,7.0200044317999994,43,neighborhood,obesity
42.016081376,10.33256632,45,neighborhood,obesity
47.184058232,9.6573808024,47,neighborhood,obesity
60.579486715,9.239583188500001,52,neighborhood,obesity
18.525988277,2.1186722874,6,neighborhood,obesity
52.01017126399999,9.2822258994,49,neighborhood,obesity
18.968288907,3.3248480617,24,neighborhood,obesity
20.506058513,4.387724736,12,neighborhood,obesity
23.992530235,6.8886783426,13,neighborhood,obesity
64.223422907,7.6238525827,73,neighborhood,obesity
24.178459464,5.763136426900001,17,neighborhood,obesity
37.193342396999995,6.9551888925,20,neighborhood,obesity
58.237133349,6.7103637597,25,neighborhood,obesity
45.001735302,11.246219748,26,neighborhood,obesity
47.320385701999996,8.8830837498,29,neighborhood,obesity
25.660029799,4.0537971068,3,neighborhood,obesity
20.884471209,4.6966040962,32,neighborhood,obesity
29.538276616999998,6.9164645908,33,neighborhood,obesity
43.76258637,7.9952865478,36,neighborhood,obesity
51.483041446,6.641570778999999,40,neighborhood,obesity
12.700351625,4.7124097045,41,neighborhood,obesity
46.951373115,7.7290253123,44,neighborhood,obesity
21.591522871,4.384585678500001,5,neighborhood,obesity
37.151155388,7.5298003719,57,neighborhood,obesity
47.68402233,8.293458731,58,neighborhood,obesity
22.831436884000002,7.0226246235000005,59,neighborhood,obesity
25.284499123000003,5.2916788663,62,neighborhood,obesity
39.935946633,7.274464501900001,63,neighborhood,obesity
41.697592413,7.9210625101,65,neighborhood,obesity
40.816404553000005,7.6223903794000005,67,neighborhood,obesity
48.26237612600001,9.1754982026,68,neighborhood,obesity
45.533027016999995,9.5381185446,70,neighborhood,obesity
43.978130537,9.527344858300001,74,neighborhood,obesity
32.150264373,7.390729199500001,75,neighborhood,obesity
32.301658609,4.6943304013,77,neighborhood,obesity
11.876544478,2.3753320277000003,8,neighborhood,obesity
32.417730995999996,5.149722976700001,1,neighborhood,obesity
45.698488125,5.7963734134000005,10,neighborhood,obesity
33.65387148,6.4871522642,11,neighborhood,obesity
38.602307486,6.0012888973,15,neighborhood,obesity
27.602107868,5.796892249,16,neighborhood,obesity
28.536252244,6.6208306174,19,neighborhood,obesity
19.946253884,5.745687165700001,21,neighborhood,obesity
23.541372366999997,4.3583370473,22,neighborhood,obesity
37.899130055,7.5928190427999995,23,neighborhood,obesity
47.876029571000004,8.3941396978,27,neighborhood,obesity
20.510782264,3.916437,28,neighborhood,obesity
40.431132557,7.0754345104,30,neighborhood,obesity
35.40464987,8.5739578872,31,neighborhood,obesity
7.302520425,2.8881033169999997,34,neighborhood,obesity
21.502228853000002,5.8599502428,35,neighborhood,obesity
48.716616343999995,10.345801587999999,37,neighborhood,obesity
45.095031743999996,6.9180797977,38,neighborhood,obesity
25.495953613,7.1253504762,39,neighborhood,obesity
32.356306926,5.1487255037,4,neighborhood,obesity
26.506892716,7.048949497100001,42,neighborhood,obesity
46.883178662,11.067803768,46,neighborhood,obesity
55.626361113,12.01909022,48,neighborhood,obesity
53.997612927,15.80964142,50,neighborhood,obesity
35.777763222,10.104519214,51,neighborhood,obesity
62.690090361,9.4993105508,53,neighborhood,obesity
43.256334666,12.929700540999999,54,neighborhood,obesity
37.499962062,7.871131396,55,neighborhood,obesity
25.107211731,5.8218507316,56,neighborhood,obesity
30.307554051999997,7.546118529099999,60,neighborhood,obesity
63.52793513899999,8.3128168407,61,neighborhood,obesity
35.06663026,6.7645571793,64,neighborhood,obesity
54.123774165,7.8995824234,66,neighborhood,obesity
48.355982793,7.4052629762,69,neighborhood,obesity
15.143268974000001,3.5524934233999996,7,neighborhood,obesity
52.258436276000005,7.923956061699999,71,neighborhood,obesity
46.901468108,9.9036683783,72,neighborhood,obesity
23.877554024000002,8.4674139221,76,neighborhood,obesity
26.546612457,7.4177228742,9,neighborhood,obesity
96.48656916046768,3.0293868282838714,1701010,place,safety
97.99993392892584,0.908372936704164,1702154,place,safety
17.81111075660624,1.105316147734812,1703844,place,safety
3.134421379778591,0.20448480461342117,1703883,place,safety
86.94080793744673,9.249158078442658,1704013,place,safety
3.6775348898379256,0.6751138749659791,1704572,place,safety
82.59542630093829,7.544039817513539,1704975,place,safety
18.787838160882217,1.7645548820069186,1705404,place,safety
70.46148868922049,8.403322963743033,1705573,place,safety
77.77760956012155,10.166695251340927,1706704,place,safety
85.96353869662258,7.287451904943743,1708225,place,safety
47.95305195108666,2.368665552730675,1708446,place,safety
95.2400053983478,4.667544761585381,1708576,place,safety
100,NA,1709447,place,safety
63.62163576682716,6.748806591901936,1709642,place,safety
23.534211117114783,1.6510341296186704,1709980,place,safety
57.03139611474837,10.839161822151796,1710487,place,safety
50.66916343742116,9.82575147430667,1710513,place,safety
58.80721914962365,14.769120328756305,1714026,place,safety
87.6029976802944,5.938559230288773,1714065,place,safety
71.66053118776964,8.100573647647044,1714351,place,safety
89.75073011186325,7.558646178683658,1716691,place,safety
33.94596035960186,2.381466658792181,1716873,place,safety
72.77116255265472,12.458015331685818,1717497,place,safety
92.27670139603178,3.3166423407538685,1719642,place,safety
