fac_name,site_name,fac_street,fac_city,fac_state,fac_zip,naics_code,latitude,longitude,pollutant_code,pollutant_desc,pollutant_type,emissions_uom,emissions
FOSTER FARMS,FOSTER FEED SALES,11245 SWANSON RD,BURREL,CA,93607,311119,36.49369,-119.99494,SO2,Sulfur Dioxide,CAP,TON,0.00986
FOWLER DEHYDRATOR,FOWLER DEHYDRATOR,726 S 8TH ST,FOWLER,CA,93625,115114,36.621001,-119.672997,SO2,Sulfur Dioxide,CAP,TON,12.1586
FRESNO BEE,FRESNO BEE,1626 E ST,FRESNO,CA,93786,513110,36.73608,-119.802774,SO2,Sulfur Dioxide,CAP,TON,4.72e-6
FRESNO/CLOVIS REGIONAL WWTP,FRESNO/CLOVIS REGIONAL WWTP,5607 W JENSEN AVE,FRESNO,CA,93706,221320,36.703,-119.893,SO2,Sulfur Dioxide,CAP,TON,1.2832283
GILLS TEXACO,GILLS TEXACO,2459 TAHOE ST,CARUTHERS,CA,93609,457120,36.540047,-119.835783,SO2,Sulfur Dioxide,CAP,TON,0.00936444
GRANITE CONSTRUCTION COMPANY/ENV MGR,"GRANITE CONSTRUCTION, COALINGA",38940 HIGHWAY 33,COALINGA,CA,93210,324121,36.167493,-120.36422,SO2,Sulfur Dioxide,CAP,TON,1.952865
GRUNDFOS PUMPS MANUFACTURING CORPORATION,GRUNDFOS PUMPS CORPORATION,5900 E SHIELDS AVE,FRESNO,CA,93727,333914,36.779164,-119.68692,SO2,Sulfur Dioxide,CAP,TON,6.8141e-4
"H&R GUNLUND RANCHES, INC","H & R GUNLUND RANCHES, INC",3675 W SAGINAW AVE,CARUTHERS,CA,93609,115114,36.552228,-119.8569,SO2,Sulfur Dioxide,CAP,TON,0.3174054
ONEILL BEVERAGES CO LLC,ONEILL BEVERAGES CO LLC,8418 S LAC JAC AVE,PARLIER,CA,93648,312130,36.612452,-119.484102,SO2,Sulfur Dioxide,CAP,TON,0.14598444
CALMAT DBA VULCAN MATERIALS COMPANY,CALMAT DBA VULCAN MATERIALS COMPANY,17041 E KINGS CANYON RD,SANGER,CA,93657,324121,36.728017,-119.485757,SO2,Sulfur Dioxide,CAP,TON,0.0406
IRS-FRESNO SERVICE CENTER,IRS-FRESNO SERVICE CENTER,5045 E BUTLER AVE,FRESNO,CA,93727,921190,36.730437,-119.724742,SO2,Sulfur Dioxide,CAP,TON,0.0127794
KAISER PERMANENTE MED CENTER,KAISER PERMANENTE MED CENTER,7300 N FRESNO ST,FRESNO,CA,93720,622110,36.842331,-119.783042,SO2,Sulfur Dioxide,CAP,TON,0.0050266
"LION RAISINS, INC.","LION RAISINS, INC.",9400 S DEWOLF,SELMA,CA,93662,311119,36.593135,-119.646539,SO2,Sulfur Dioxide,CAP,TON,1.072
LONE STAR DEHYDRATOR,LONE STAR DEHYDRATOR,2730 S DEWOLF,SANGER,CA,93657,115114,36.696658,-119.645638,SO2,Sulfur Dioxide,CAP,TON,0.0232
LOS GATOS TOMATO PRODUCTS,LOS GATOS TOMATO PRODUCTS,19800 GALE AVE,HURON,CA,93234,311421,36.182981,-120.15343,SO2,Sulfur Dioxide,CAP,TON,0.30599
GRUMA CORPORATION/MISSION FOODS,GRUMA CORPORATION,2849 E EDGAR AVE,FRESNO,CA,93706,311824,36.696381,-119.780897,SO2,Sulfur Dioxide,CAP,TON,0.011972
OLAM WEST COAST INC,OLAM WEST COAST INC,1175 S 19TH AVE,LEMOORE,CA,93245,311422,36.274195,-119.800337,SO2,Sulfur Dioxide,CAP,TON,0.04402963
HOLMES WESTERN OIL CORPORATION,HOLMES WESTERN OIL CORPORATION,PYRAMID HILLS LEASE,KINGS COUNTY,CA,93204,211120,35.794371,-120.012746,SO2,Sulfur Dioxide,CAP,TON,0.00711
CITY OF HANFORD WASTEWATER FACILITY,CITY OF HANFORD WASTEWATER FACILITY,10555 HOUSTON AVE,HANFORD,CA,93230,561790,36.298442,-119.64913,SO2,Sulfur Dioxide,CAP,TON,0.1005758
NAS LEMOORE,NAS LEMOORE,NAVAL AIR STATION LEMOORE,LEMOORE,CA,93245,928110,36.260954,-119.90135,SO2,Sulfur Dioxide,CAP,TON,0.001364
CALIF STATE PRISON - CORCORAN,CALIF STATE PRISON - CORCORAN,4001 KING AVE,CORCORAN,CA,93212,922140,36.09852,-119.55996,SO2,Sulfur Dioxide,CAP,TON,0.9305686
HANFORD MALL,HANFORD MALL,1675 W LACEY BLVD,HANFORD,CA,93230,531120,36.327838,-119.67193,SO2,Sulfur Dioxide,CAP,TON,1.25e-5
TRI-COUNTIES WALNUT CO,TRI-COUNTIES WALNUT CO,10493 13TH AVE,HANFORD,CA,93230,115114,36.322019,-119.690806,SO2,Sulfur Dioxide,CAP,TON,0.3822
AT&T MOBILITY - EH&S,AT&T MOBILITY,9887 FLINT AVE - USID 9663,HANFORD,CA,93230,517112,36.369152,-119.625996,SO2,Sulfur Dioxide,CAP,TON,5.96e-6
AT&T MOBILITY - EH&S,AT&T MOBILITY,28434 MILHAM ST - USID 9659,KETTLEMAN CITY,CA,93239,517111,36.00965,-119.982031,SO2,Sulfur Dioxide,CAP,TON,6.3468e-5
AT&T MOBILITY - EH&S,AT&T MOBILITY,1550 GLENDALE - USID 9660,HANFORD,CA,95827,517111,36.320346,-119.670792,SO2,Sulfur Dioxide,CAP,TON,1.563e-5
DEL MONTE FOODS HANFORD PLANT 24,DEL MONTE FOODS HANFORD PLANT 24,10652 JACKSON AVE,HANFORD,CA,93230,311421,36.250526,-119.652689,SO2,Sulfur Dioxide,CAP,TON,0.6581825
COUNTY LINE GIN,COUNTY LINE GIN,12095 SECOND AVE,HANFORD,CA,93230,115111,36.295236,-119.49196,SO2,Sulfur Dioxide,CAP,TON,0.00435
CROSS CREEK GINNING CO.,CROSS CREEK GINNING CO.,10TH AND ORANGE AVE,CORCORAN,CA,93212,115111,36.106689,-119.636084,SO2,Sulfur Dioxide,CAP,TON,0.0566
"MRP SAN JOAQUIN ENERGY, LLC, HENRIETTA PEAKER PLANT","MRP SAN JOAQUIN ENERGY, LLC",16027 25TH AVE,LEMOORE,CA,93245,333611,36.24002,-119.90431,SO2,Sulfur Dioxide,CAP,TON,0.05393774
LEPRINO FOODS COMPANY,LEPRINO FOODS COMPANY,350 N BELL HAVEN DR,LEMOORE,CA,93245,311513,36.300931,-119.811937,SO2,Sulfur Dioxide,CAP,TON,1.2445408
"MRP SAN JOAQUIN ENERGY, LLC, HANFORD ENERGY PARK PEAKER PLAN","MRP SAN JOAQUIN ENERGY, LLC",10596 IDAHO AVE-HANFORD ENERGY PARK PEAKER PLANT,HANFORD,CA,93230,221118,36.2704,-119.6474,SO2,Sulfur Dioxide,CAP,TON,0.03440625
WEST ISLAND COTTON GROWERS INC,WEST ISLAND COTTON GROWERS INC,20509 ELGIN AVE,LEMOORE,CA,93245,115111,36.381787,-119.823879,SO2,Sulfur Dioxide,CAP,TON,0.0173
J G BOSWELL COMPANY,J G BOSWELL COMPANY OIL MILL,710 BAINUM AVE,CORCORAN,CA,93212,311211,36.092,-119.554,SO2,Sulfur Dioxide,CAP,TON,0.1973491
KINGS COUNTY PUBLIC WORKS DEPT,KINGS COUNTY PUBLIC WORKS DEPT,1400 W LACEY BLVD,HANFORD,CA,93230,921190,36.328238,-119.666665,SO2,Sulfur Dioxide,CAP,TON,4.2562e-4
NICHOLS PISTACHIO,NICHOLS PISTACHIO,13762 1ST AVE,HANFORD,CA,93230,111335,36.27033,-119.47641,SO2,Sulfur Dioxide,CAP,TON,0.03521592
AMBAY ENTERPRISE INC,AMBAY ENTERPRISE INC,342 FOX ST,LEMOORE,CA,93245,457120,36.302051,-119.786443,SO2,Sulfur Dioxide,CAP,TON,0.00936444
PG&E ENVIRONMENTAL SERVICES,PG & E CO -KETTLEMAN COMPRESSOR STATION,34453 PLYMOUTH AVE,AVENAL,CA,93204,486210,36.073141,-120.083124,SO2,Sulfur Dioxide,CAP,TON,0.0668285
PRISON INDUSTRY AUTHORITY-AVENAL,PRISON INDUSTRY AUTHORITY--AVENAL,1 KINGS WAY,AVENAL,CA,93204,922140,36.002537,-120.137785,SO2,Sulfur Dioxide,CAP,TON,1.077e-5
PRISON INDUSTRY AUTHORITY-CORCORAN,PRISON INDUSTRY AUTHORITY-CORCORAN,4001 KING AVE,CORCORAN,CA,93212,922140,36.060219,-119.55287,SO2,Sulfur Dioxide,CAP,TON,7.28e-6
BARRETTS LANDING WAREHOUSE,BARRETTS LANDING WAREHOUSE,8666 MILLERS LANDING RD,GRIMES,CA,95950,115114,38.956294,-121.840189,SO2,Sulfur Dioxide,CAP,TON,0.0012
STRAIN RANCHES INC.,STRAIN RANCHES INC.,1492 STRAIN LANE-WEST HAHN RD,ARBUCKLE,CA,95912,115114,39.05625,-122.10429,SO2,Sulfur Dioxide,CAP,TON,0.0029481
OLD COUNTRY MILLWORK INC,OLD COUNTRY MILLWORK INC,1212 E 58TH PL,LOS ANGELES,CA,90001,332812,33.98819,-118.25367,SO2,Sulfur Dioxide,CAP,TON,0.0043
PARADISE IRRIGATION DISTRICT,PARADISE IRRIGATION DISTRICT - MAGALIA,13888 PINE NEEDLE DRIVE,MAGALIA,CA,95954,221310,39.814572,-121.580947,SO2,Sulfur Dioxide,CAP,TON,0.002
CHICO BROADCASTING INC,"CHICO BROADCASTING, INC.",11045 COHASSET ROAD,CHICO,CA,95926,517112,39.982,-121.701,SO2,Sulfur Dioxide,CAP,TON,0.02
"STRATAS FOODS, LLC","STRATAS FOODS, LLC",3370 S CHESTNUT AVE,FRESNO,CA,93725,311225,36.685324,-119.736479,SO2,Sulfur Dioxide,CAP,TON,0.1307124
PENNY WISE,PENNY WISE,1536 E BELMONT AVE,FRESNO,CA,93701,457120,36.750263,-119.792532,SO2,Sulfur Dioxide,CAP,TON,0.00936444
PACIFIC GINNING COMPANY LLC,PACIFIC GINNING COMPANY LLC,HIGHWAY 33 & NEBRASKA,CANTUA CREEK,CA,93608,115111,36.557871,-120.389011,SO2,Sulfur Dioxide,CAP,TON,0.0229
CLEARLAKE LAVA,HIDDEN VALLEY SAND AND GRAVEL,4.5 MILES E. OF HWY20/53 JUNCT,CLEARLAKE OAKS,CA,95423,212321,38.999361,-122.556414,SO2,Sulfur Dioxide,CAP,TON,0.153
JONES MORTUARY,JONES MORTUARY,115 S. MAIN STREET,LAKEPORT,CA,95453,812220,39.04191,-122.91552,SO2,Sulfur Dioxide,CAP,TON,0.01
LAKE COUNTY ANIMAL CONTROL,LAKE COUNTY ANIMAL CONTROL,4949 Helbush Drive,LAKEPORT,CA,95453,812220,39.034,-122.923,SO2,Sulfur Dioxide,CAP,TON,0.021
"PARNUM PAVING, INC",CLEARLAKE LAVA,HIGHWAY 29,MIDDLETOWN,CA,95451,212321,38.987656,-122.845322,SO2,Sulfur Dioxide,CAP,TON,0.009
POINT LAKEVIEW ROCK & REDIMIX,POINT LAKEVIEW ROCK & REDIMIX,13329 PT. LAKEVIEW ROAD,LOWER LAKE,CA,95457,212319,38.9222,-122.6665,SO2,Sulfur Dioxide,CAP,TON,0.596
SUTTER LAKESIDE HOSPITAL,SUTTER LAKESIDE HOSPITAL,5176 HILL ROAD EAST,LAKEPORT,CA,95453,621340,39.102495,-122.910004,SO2,Sulfur Dioxide,CAP,TON,1.78
ADVENTIST HEALTH HOSPITAL,ST. HELENA HOSPITAL CLEARLAKE,18TH AVE & HWY 53,CLEARLAKE,CA,95422,621340,38.93687,-122.62243,SO2,Sulfur Dioxide,CAP,TON,18.084
CLEARLAKE LAVA,CLEARLAKE LAVA - UPPER PLANT,14752 E. HWY 20,CLEARLAKE OAKS,CA,95423,212319,39.01219,-122.631467,SO2,Sulfur Dioxide,CAP,TON,0.469
CLEARLAKE REDI-MIX,CLEARLAKE REDI-MIX - FINLEY,3740 FINLEY ROAD EAST,FINLEY,CA,95435,212321,39.0037,-122.8509,SO2,Sulfur Dioxide,CAP,TON,0.014
CLEARLAKE REDI-MIX,CLEARLAKE REDI-MIX/LAKEPORT,99 SODA BAY ROAD,LAKEPORT,CA,95453,327320,39.01,-122.9098,SO2,Sulfur Dioxide,CAP,TON,0.226
"COUNTY OF LAKE, FMD","COUNTY OF LAKE, FMD",255 N. FORBES STREET,LAKEPORT,CA,95453,921190,39.04367,-122.91648,SO2,Sulfur Dioxide,CAP,TON,0.005
MR. LASSEN POWER,MT. LASSEN POWER,LASSEN COUNTY RD. A21,WESTWOOD,CA,96137,221122,40.297,-121.018,SO2,Sulfur Dioxide,CAP,TON,4.2
UNIVERSITY OF CALIFORNIA MERCED,UNIVERSITY OF CALIFORNIA MERCED,5200 N LAKE RD,MERCED,CA,95340,611310,37.36631,-120.424572,SO2,Sulfur Dioxide,CAP,TON,0.0442344
RIO HONDO COMMUNITY COLLEGE,RIO HONDO COMMUNITY COLLEGE,3600  WORKMAN MILL RD,WHITTIER,CA,90601,611210,34.00993,-118.03099,SO2,Sulfur Dioxide,CAP,TON,0.0400042
MM WEST COVINA LLC,MM WEST COVINA LLC,2210 S AZUSA AVE,WEST COVINA,CA,91792,221112,34.033443,-117.906284,SO2,Sulfur Dioxide,CAP,TON,0.010501
KAISER FOUNDATION HOSP,KAISER FOUNDATION HOSP,6041  CADILLAC AVE,LOS ANGELES,CA,90034,622110,34.02997,-118.37102,SO2,Sulfur Dioxide,CAP,TON,0.0230693
ECO SERVICES OPERATIONS CORP.,ECO SERVICES OPERATIONS CORP.,20720 S WILMINGTON AVE,CARSON,CA,90810,325998,33.842507,-118.235343,SO2,Sulfur Dioxide,CAP,TON,15.4969118
PRESBYTERIAN INTERCOMMUNITY HOSP,PRESBYTERIAN INTERCOMMUNITY HOSP,12401 E WASHINGTON BLVD,WHITTIER,CA,90602,622110,33.96861,-118.0484,SO2,Sulfur Dioxide,CAP,TON,0.0325713
BEST CONTRACTING SERVICES INC,BEST CONTRACTING SERVICES INC,VARIOUS LOCATIONS IN SCAQMD,GARDENA,CA,90248,238160,33.8558,-118.2863,SO2,Sulfur Dioxide,CAP,TON,0.00338075
VERIZON WIRELESS,VERIZON WIRELESS,14230 S HILLSDALE AVE,SANTA NELLA,CA,95322,517112,37.081043,-120.99413,SO2,Sulfur Dioxide,CAP,TON,2.937e-6
VERIZON WIRELESS- COTTONWOOD,VERIZON WIRELESS - COTTONWOOD,32190 COTTONWOOD RD,GUSTINE,CA,95322,517112,37.195155,-121.07559,SO2,Sulfur Dioxide,CAP,TON,4.66e-8
LUBECO INC,LUBECO INC,6859  DOWNEY AVE,LONG BEACH,CA,90805,324191,33.879946,-118.151357,SO2,Sulfur Dioxide,CAP,TON,5.34e-4
FARMERS RICE COOP,FARMERS RICE DRYER #1,4937 HWY 45,COLUSA,CA,95932,311212,39.33051,-122.03351,SO2,Sulfur Dioxide,CAP,TON,0.0026439
CALIFORNIA FAMILY FOODS LLC.,CALIFORNIA FAMILY FOODS LLC.,6551 STRUCKMEYER RD.,ARBUCKLE,CA,95912,311212,39.04341,-122.07556,SO2,Sulfur Dioxide,CAP,TON,0.0025923
"DE PUE WAREHOUSE COMPANY, INC.",DEPUE CORTINA DRYER,3334 HIGHWAY 99W,WILLIAMS,CA,95987,115114,39.16115,-122.15505,SO2,Sulfur Dioxide,CAP,TON,0.0055439
COLUSA RICE COMPANY,COLUSA RICE COMPANY NIAGARA,2889 NIAGARA AVE.,COLUSA,CA,95932,115114,39.17788,-121.99277,SO2,Sulfur Dioxide,CAP,TON,0.0025548
"DE PUE WAREHOUSE COMPANY, INC.",DEPUE HAAS DRYER,5656 HAAS ROAD,WILLIAMS,CA,95987,115114,39.18843,-122.18946,SO2,Sulfur Dioxide,CAP,TON,0.00173895
"ACC-GWG, LLC.","ACC-GWG, LLC.",6133 ABEL ROAD,WILLIAMS,CA,95987,311212,39.15162,-122.08572,SO2,Sulfur Dioxide,CAP,TON,0.0010821
PACIFIC GAS & ELECTRIC CO.,PG&E DELEVAN COMPRESSOR STATIO,5001 DELEVAN RD,MAXWELL,CA,95955,486210,39.3691,-122.25703,SO2,Sulfur Dioxide,CAP,TON,0.03485482462
"DE PUE WAREHOUSE COMPANY, INC.",DEPUE CHENEY DRYER,1700 E STREET,WILLIAMS,CA,95987,115114,39.15214,-122.15515,SO2,Sulfur Dioxide,CAP,TON,1.671e-4
WADHAM ENERGY CO INC,WADHAM ENERGY LTD PARTNERSHIP,6247 MYERS ROAD,WILLIAMS,CA,95987,221118,39.1055,-122.1104,SO2,Sulfur Dioxide,CAP,TON,67.1115761
ERDMAN WHSE. INC.,ERDMAN WAREHOUSE INC.,8661 CERES AVENUE,KNIGHTS LANDING,CA,95645,115114,38.951067,-121.83884,SO2,Sulfur Dioxide,CAP,TON,0.0035
"THE FOOTHILL WAREHOUSE CO.,LLC",THE FOOTHILL WAREHOUSE,2005 HUSTED RD,WILLIAMS,CA,95987,115114,39.101974,-122.13469,SO2,Sulfur Dioxide,CAP,TON,0.001911
CHRISMAN ESTATE COMPANY,CHRISMAN DRYER,484 B STREET,WILLIAMS,CA,95987,115114,39.16115,-122.15505,SO2,Sulfur Dioxide,CAP,TON,1.698e-4
MORNING STAR PACKING COMPANY,MORNING STAR PACKING COMPANY,2211 OLD HWY 99,WILLIAMS,CA,95987,221118,39.1264,-122.1251,SO2,Sulfur Dioxide,CAP,TON,0.619920606
PACIFIC BELL,PACIFIC BELL,2600 CAMINO RAMON,SAN RAMON,CA,94583,518210,37.769,-121.96141,SO2,Sulfur Dioxide,CAP,TON,4.1809e-5
MT. SAN ANTONIO COMMUNITY COLLEGE,MT. SAN ANTONIO COMMUNITY COLLEGE,1100 N GRAND AVE BLDG 60 #1,WALNUT,CA,91789,611210,34.0482,-117.84512,SO2,Sulfur Dioxide,CAP,TON,0.013336494
"CAL ST, POLYTECHNIC UNIV, POMONA","CAL ST, POLYTECHNIC UNIV, POMONA",3801 W TEMPLE AVE,POMONA,CA,91768,611310,34.04888,-117.81389,SO2,Sulfur Dioxide,CAP,TON,0.0226696426
CAL INST OF TECH,CAL INST OF TECH,650 S WILSON,PASADENA,CA,91106,611310,34.1353,-118.12765,SO2,Sulfur Dioxide,CAP,TON,3.6769196845
HITCO CARBON COMPOSITES INC,HITCO CARBON COMPOSITES INC,1551 W 139TH ST,GARDENA,CA,90249,336419,33.909165,-118.305101,SO2,Sulfur Dioxide,CAP,TON,0.0433001
ANADITE INC,ANADITE INC,10647  GARFIELD AVE,SOUTH GATE,CA,90280,332812,33.93201,-118.16772,SO2,Sulfur Dioxide,CAP,TON,0.0010038
PROVIDENCE ST JOSEPH MED CTR,PROVIDENCE ST JOSEPH MED CTR,501 S BUENA VISTA ST,BURBANK,CA,91505,622110,34.15621,-118.32845,SO2,Sulfur Dioxide,CAP,TON,0.02014285
THE J PAUL GETTY TRUST,THE J PAUL GETTY TRUST,1200  GETTY CENTER DR,LOS ANGELES,CA,90049,611699,34.079,-118.47512,SO2,Sulfur Dioxide,CAP,TON,0.01757645056
THE TERMO COMPANY,THE TERMO COMPANY,1 MI NORTH TAMPA AVE,NORTHRIDGE,CA,91324,424720,34.23982,-118.549191,SO2,Sulfur Dioxide,CAP,TON,0.001273
THE TERMO CO,THE TERMO CO,31000  HASLEY CANYON RD,CASTAIC,CA,91384,211130,34.47587,-118.67771,SO2,Sulfur Dioxide,CAP,TON,8.44e-4
TEASDALE FOODS INC,TEASDALE FOODS INC,901 PACKERS ST,ATWATER,CA,95301,311421,37.346486,-120.605404,SO2,Sulfur Dioxide,CAP,TON,2.045694
SAPUTO DAIRY FOODS USA LLC,SAPUTO DAIRY FOODS USA LLC,299 FIFTH AVE,GUSTINE,CA,95322,311514,37.255474,-120.996591,SO2,Sulfur Dioxide,CAP,TON,0.2210247
FOSTER FARMS/ENV AFFAIRS MGR,FOSTER FOOD PRODUCTS,843 DAVIS ST,LIVINGSTON,CA,95334,311615,37.390292,-120.726348,SO2,Sulfur Dioxide,CAP,TON,5.49910082
KODA FARMS INC,"KODA FARMS, INC.",22540 RUSSELL AVE,SOUTH DOS PALOS,CA,93620,311212,36.959932,-120.653659,SO2,Sulfur Dioxide,CAP,TON,0.0012212
MORNING STAR PACKING COMPANY,MORNING STAR PACKING COMPANY,13448 S VOLTA RD,LOS BANOS,CA,93635,311421,37.0945,-120.9255,SO2,Sulfur Dioxide,CAP,TON,1.59945187
"LOS BANOS FOODS, INC","CALIFORNIA DAIRIES, INC",1155 E PACHECO BLVD,LOS BANOS,CA,93635,311514,37.056732,-120.839632,SO2,Sulfur Dioxide,CAP,TON,0.3311279
CAL ST UNIV NORTHRIDGE,CAL ST UNIV NORTHRIDGE,18111  NORDHOFF ST,NORTHRIDGE,CA,91330,611310,34.235511,-118.52864,SO2,Sulfur Dioxide,CAP,TON,0.0238801945
"NATVAR, A TEKNI PLEX COMPANY INC","NATVAR, A TEKNI PLEX COMPANY INC",19555 E ARENTH AVE,CITY OF INDUSTRY,CA,91748,326199,34.00018,-117.8772,SO2,Sulfur Dioxide,CAP,TON,1.05e-4
"PABCO BLDG PRODUCTS LLC,PABCO PAPER, DBA","PABCO BLDG PRODUCTS LLC,PABCO PAPER, DBA",4460  PACIFIC BLVD,VERNON,CA,90058,322130,34.003829,-118.22816,SO2,Sulfur Dioxide,CAP,TON,0.11467
PACKAGING CORPORATION OF AMERICA,PACKAGING CORPORATION OF AMERICA,4240  BANDINI BLVD,LOS ANGELES,CA,90023,322211,34.002038,-118.186441,SO2,Sulfur Dioxide,CAP,TON,0.01
QUALITY FINISHING INC,QUALITY FINISHING INC,12109  BRANFORD ST STE D6,SUN VALLEY,CA,91352,332812,34.25387,-118.39798,SO2,Sulfur Dioxide,CAP,TON,0.001938
SO CAL GAS CO/PLAYA DEL REY STORAGE FAC,SO CAL GAS CO/PLAYA DEL REY STORAGE FAC,8141  GULANA AVE,PLAYA DEL REY,CA,90293,221210,33.9627,-118.438,SO2,Sulfur Dioxide,CAP,TON,0.0196317114
MERLE NORMAN COSMETICS INC,MERLE NORMAN COSMETICS INC,9130  BELLANCA AVE,LOS ANGELES,CA,90045,325620,33.95348,-118.380454,SO2,Sulfur Dioxide,CAP,TON,5.934e-4
LIBERTY PACKING CO - THE MORNING STAR CO,LIBERTY PACKING CO - THE MORNING STAR CO,12045 S INGOMAR GRADE,LOS BANOS,CA,93635,115114,37.113056,-120.94246,SO2,Sulfur Dioxide,CAP,TON,2.68444189
LEHIGH HANSON WEST REGION,CALAVERAS MATERIALS INC.,12523 N HIGHWAY 59,MERCED,CA,95348,324121,37.40858,-120.42954,SO2,Sulfur Dioxide,CAP,TON,0.1979449
"VULCAN MATERIALS, ATTN: ENVIRONMENTAL DEPT","TRIANGLE ROCK PRODUCTS, LLC",22101 SUNSET AVE,LOS BANOS,CA,93635,324121,37.027604,-120.892487,SO2,Sulfur Dioxide,CAP,TON,1.71e-4
SANTA FE AGGREGATES INC,"SANTA FE AGGREGATES, INC.",11650 N SHAFFER RD,WINTON,CA,95388,324121,37.4584,-120.596,SO2,Sulfur Dioxide,CAP,TON,0.1770025
DOMS ELECTRIC,DOMS ELECTRIC,551 S HIGHWAY 59,MERCED,CA,95340,335312,37.27912,-120.48583000000001,SO2,Sulfur Dioxide,CAP,TON,5.85e-4
CITY OF LOS BANOS PUBLIC WORKS,CITY OF LOS BANOS,1717 W PACHECO BLVD,LOS BANOS,CA,93635,921190,37.056664,-120.883393,SO2,Sulfur Dioxide,CAP,TON,8.61e-6
"SAFEWAY INC, MERCED GROCERY PLANT","SAFEWAY, INC.",2761 COOPER AVE,MERCED,CA,95348,311212,37.315312,-120.52096,SO2,Sulfur Dioxide,CAP,TON,0.0394
CITY OF LOS BANOS,CITY OF LOS BANOS,411 MADISON AVE,LOS BANOS,CA,93635,221310,37.053045,-120.853951,SO2,Sulfur Dioxide,CAP,TON,2.195e-7
CITY OF LOS BANOS,CITY OF LOS BANOS,1630 SAN LUIS ST (WELL #7),LOS BANOS,CA,93635,221310,37.062001,-120.829997,SO2,Sulfur Dioxide,CAP,TON,1.7471e-6
CITY OF LOS BANOS,CITY OF LOS BANOS,901 COLORADO AVE(WELL 6),LOS BANOS,CA,93635,221310,37.062641,-120.865697,SO2,Sulfur Dioxide,CAP,TON,6.45e-6
CITY OF LOS BANOS,CITY OF LOS BANOS,909 WILLMOTT AVE,LOS BANOS,CA,93635,221310,37.069064,-120.841963,SO2,Sulfur Dioxide,CAP,TON,6.84e-8
CITY OF LOS BANOS,CITY OF LOS BANOS,1558 PLACE RD,LOS BANOS,CA,93635,921190,37.052938,-120.826324,SO2,Sulfur Dioxide,CAP,TON,1.185e-6
BLOSS MEMORIAL HEALTHCARE DIST,BLOSS MEMORIAL HEALTHCARE DIST,3605 HOSPITAL RD,ATWATER,CA,95301,622110,37.364707,-120.576869,SO2,Sulfur Dioxide,CAP,TON,4.14e-4
DELHI COUNTY WATER DISTRICT,DELHI COUNTY WATER DISTRICT,NE CORNER SWANSON RD X FLOWER ST,DELHI,CA,95315,221310,37.441297,-120.78989,SO2,Sulfur Dioxide,CAP,TON,7.65e-6
APEX DRUM CO INC,APEX DRUM CO INC,6202  & 6226 FERGUSON DR,LOS ANGELES,CA,90022,811310,34.029427,-118.150505,SO2,Sulfur Dioxide,CAP,TON,0.0023533
NASA JET PROPULSION LAB,NASA JET PROPULSION LAB,4800  OAK GROVE DR,PASADENA,CA,91109,927110,34.185012,-118.174528,SO2,Sulfur Dioxide,CAP,TON,0.03101324
CHIQUITA CANYON LLC,CHIQUITA CANYON LLC,29201  HENRY MAYO DR,CASTAIC,CA,91384,562212,34.4281,-118.6466,SO2,Sulfur Dioxide,CAP,TON,6.72
"ANEMOSTAT-WEST, A MESTEK CO","ANEMOSTAT-WEST, A MESTEK CO",1220  WATSON CENTER RD,CARSON,CA,90745,334512,33.81958,-118.25175,SO2,Sulfur Dioxide,CAP,TON,0.0013
BEVERLY HOSPITAL,BEVERLY HOSPITAL,309 W BEVERLY BLVD,MONTEBELLO,CA,90640,622110,34.015995,-118.100536,SO2,Sulfur Dioxide,CAP,TON,0.0087925
"HRL LABORATORIES, LLC","HRL LABORATORIES, LLC",3011  MALIBU CANYON RD,MALIBU,CA,90265,541715,34.04313,-118.69566,SO2,Sulfur Dioxide,CAP,TON,0.050826754
PARK LA BREA,PARK LA BREA,5940  COLGATE AVE,LOS ANGELES,CA,90036,531110,34.070787,-118.356277,SO2,Sulfur Dioxide,CAP,TON,0.078533586
NORTHRIDGE HOSPITAL MEDICAL CENTER,NORTHRIDGE HOSPITAL MEDICAL CENTER,18300  ROSCOE BLVD,NORTHRIDGE,CA,91325,622110,34.2202,-118.53366,SO2,Sulfur Dioxide,CAP,TON,0.017524
LOS ANGELES TIMES COMMUNICATIONS LLC,LOS ANGELES TIMES COMMUNICATIONS LLC,2000 E 8TH ST,LOS ANGELES,CA,90021,513110,34.029752,-118.238545,SO2,Sulfur Dioxide,CAP,TON,0.003481649
MEGGITT (NORTH HOLLYWOOD) INC,MEGGITT (NORTH HOLLYWOOD) INC,12838  SATICOY,NORTH HOLLYWOOD,CA,91605,334519,34.20564,-118.41211,SO2,Sulfur Dioxide,CAP,TON,1.75188e-4
CHICO CEMETERY ASSOCIATION,CHICO CEMETERY ASSOCIATION,881 MANGROVE AVENUE,CHICO,CA,95926,812220,39.737669,-121.837259,SO2,Sulfur Dioxide,CAP,TON,0.064
CALIFORNIA DEPARTMENT OF FORESTRY & FIRE,CAL FIRE STATION #63,176 NELSON AVE,OROVILLE,CA,95965,922160,39.524256,-121.569761,SO2,Sulfur Dioxide,CAP,TON,0.004
CHICO MEMORIAL MAUSOLEUM,CHICO MEMORIAL MAUSOLEUM,680 CAMELLIA WAY,CHICO,CA,95926,812220,39.734536,-121.837557,SO2,Sulfur Dioxide,CAP,TON,0.021
