fac_name,site_name,fac_street,fac_city,fac_state,fac_zip,naics_code,latitude,longitude,pollutant_code,pollutant_desc,pollutant_type,emissions_uom,emissions
NAPA SQUARE OWNER NY LLC,NAPA SQUARE OWNER NY LLC,1401 1ST STREET,NAPA,CA,94559,531120,38.297604,-122.288707,SO2,Sulfur Dioxide,CAP,TON,1.6242e-5
OAKLAND CENTER 21,OAKLAND CENTER 21,2101 WEBSTER STREET,OAKLAND,CA,94612,531120,37.808487,-122.264988,SO2,Sulfur Dioxide,CAP,TON,7.19049e-4
SPF CHINA BASIN HOLDINGS LLC,SPF CHINA BASIN HOLDINGS LLC,185 BERRY STRET #140,SAN FRANCISCO,CA,94107,531120,37.776381,-122.392165,SO2,Sulfur Dioxide,CAP,TON,5.445e-5
STONEMAN VILLAGE II HOUSING CORP,STONEMAN VILLAGE II HOUSING CORP,375 PRESIDIO LANE,PITTSBURG,CA,94565,531120,38.009931,-121.888227,SO2,Sulfur Dioxide,CAP,TON,3.7e-6
THE PYRAMID CENTER,THE PYRAMID CENTER,600 MONTOGOMERY STREET,SAN FRANCISCO,CA,94111,531120,37.795151,-122.402735,SO2,Sulfur Dioxide,CAP,TON,8.7601e-5
THE SHOPS AT TANFORAN,THE SHOPS AT TANFORAN,1188 EL CAMINO REAL,SAN BRUNO,CA,94066,531120,37.635588,-122.420415,SO2,Sulfur Dioxide,CAP,TON,8.6405e-5
WEST LAKE CHRISTIAN TERRACE,WEST LAKE CHRISTIAN TERRACE,275 28TH STREET,OAKLAND,CA,94611,531120,37.815501,-122.262396,SO2,Sulfur Dioxide,CAP,TON,3.5024e-5
EAST SIDE UNION HIGH SCHOOL DISTRICT,EAST SIDE UNION HIGH SCHOOL DISTRICT,830 N CAPITOL AVENUE,SAN JOSE,CA,95133,611110,37.379433,-121.85352,SO2,Sulfur Dioxide,CAP,TON,6.421e-6
FRESNO UNIFIED SCHOOL DIST,FRESNO UNIFIED SCHOOL DIST,1839 N ECHO AVE,FRESNO,CA,93704,611110,36.767102,-119.804166,SO2,Sulfur Dioxide,CAP,TON,6.516e-5
FRESNO UNIFIED SCHOOL DISTRICT,FRESNO UNIFIED SCHOOL DISTRICT,4600 N BRAWLEY AVE,FRESNO,CA,93722,611110,36.802912,-119.862354,SO2,Sulfur Dioxide,CAP,TON,1.89e-6
