totalpop,agedep,drovealone,walked,fromhome,lfblack,geoid_tract
3538,58.2,87.5,0.3,6.1,18.2,42077005301
4401,59.6,84.9,5,5,98.7,42077005302
2190,71.1,82,0,15.1,55.6,42077005401
5237,56.3,79.4,0.7,14.7,NA,42077005402
4032,68,87.8,0,8.4,100,42077005503
5034,105.6,84.1,1.2,7.8,NA,42075003802
4417,49.8,88.4,0.6,4.2,100,42077005504
4268,79,82.5,3,11.2,71.4,42077005505
3629,60.9,77.8,2.9,10.6,61.8,42077005506
4927,64.6,84.6,1.5,4.1,91.5,42077005601
5150,65.7,86.8,0.7,2.4,71.9,42077005602
4081,52,74.4,1.6,7.5,100,42077005702
4037,47.3,76.6,1.3,0.4,87.3,42077005703
4098,28.7,24.3,13.7,14.8,48.4,42101002701
4300,44.5,45.5,9.3,8.7,99.2,42101002702
4452,47.4,27.4,10.6,3,71.8,42101002801
5772,38.6,22.8,13.5,14.4,96.8,42101002802
3762,44.6,20.1,13.3,9.7,100,42101002900
3722,37.6,28.5,10.4,3.9,42.8,42101003001
2961,45.5,30.5,7.2,9.1,48.8,42101003002
4575,43.5,35.6,3.7,6.2,42.9,42101003100
4100,51,36.1,2.9,5.6,52.6,42101003200
6417,37.6,33.9,7.3,1.7,67,42101003300
7109,66.2,36.3,4.3,0,64.4,42101003600
5617,39.9,29.2,4.5,3.2,46.1,42101003701
3922,65.1,51.5,5.4,3.9,65.1,42101003702
3912,71.1,49.9,6.8,4.2,80,42101003800
6429,33.6,27.5,6.2,13.7,68.2,42101003901
5682,68,41.5,11.1,13.7,NA,42101003902
4037,34.9,20.6,15.3,12.2,51.3,42101004001
5247,71.6,44.4,3.8,9.3,100,42101004002
4952,49.2,21.1,13.9,16,39.5,42101004101
5244,75.6,30.4,1.4,19.7,81.9,42101004103
4212,46.5,37.1,5.3,5.8,NA,42101004104
5374,50.4,45.9,8.3,6.5,70.6,42101004201
5763,73.7,33.3,5.4,3.8,59.3,42101004202
1552,60.5,59.4,5,5.8,55.1,42101005400
6172,51.5,57.9,1.6,2,62.9,42101005500
1239,29.7,56.5,0,3.3,75.2,42101005600
6370,57.1,57.4,0,1,57.6,42101006000
2776,55.7,64.8,0,0,72,42101006100
4672,71.6,43.9,2,0,62.7,42101006200
4599,50.8,52.5,2.8,1.9,64.8,42101006300
4801,79.5,44.2,4.8,0,73.5,42101006400
3867,62.1,29.8,0,9.9,57,42101006500
3370,79.7,38.1,3.8,0,46.2,42101006600
7215,53.9,49.2,5.3,2.6,68.9,42101006700
3598,67.7,54.2,0,0.4,59.4,42101007000
2710,62,36.5,0.8,0,42.5,42101007101
4476,63.1,42.6,0,5.9,50.2,42101007102
4578,69.1,38.7,5.1,11.2,45.1,42101007200
3146,33.9,36.1,2.1,13.4,53.3,42101007300
4506,75.5,48.6,6.3,8.5,63.6,42101007400
1946,12.7,27.1,26,12.5,72.6,42101007700
4066,38.9,21.4,15.6,10.6,50.4,42101007800
4044,23.2,32.1,11.2,13,64.1,42101007900
2640,55.8,80.7,1.3,4.8,NA,42129805100
1963,97.5,82.1,1,7.8,76.8,42129805200
1477,44.9,70.4,10.7,2.3,46.8,42129805400
3847,81.5,79,0.7,8.8,66.4,42129805500
1706,61.9,76.6,4.4,8.7,7.1,42129805600
3011,63.4,83.3,0.1,5,47.8,42129805800
1527,78.6,91.6,0,4.2,NA,42129805901
3936,63.9,86.7,2.7,4.1,46.5,42129805903
2635,71.5,94.6,1.3,1.5,100,42129805904
2581,93.3,85.8,5,4.3,25.5,42129806000
3638,52.2,79.2,3.3,6.4,52.5,42129806100
2280,77.6,87.1,0,3.2,NA,42129806200
1839,86.7,86.4,0.9,3.9,100,42129806300
2277,69.2,76.9,2.6,2.3,100,42129806400
4627,81.4,78.1,0.8,14.4,50,42129806500
3043,78.7,87.5,0,4.3,100,42129806600
2683,72.4,85.6,2.4,1.1,50,42129806700
1572,56.1,87.5,0.5,6.1,43.9,42129806800
3995,65.4,92,1.8,1.8,0,42129806900
3309,72.2,84.9,4.4,7.5,95.5,42129807000
3118,69.3,86.9,1.4,2.6,NA,42129807100
4618,61.9,88.8,0.3,7.3,0,42129807201
2911,85.3,84.6,0.4,6.5,0,42129807202
4750,87.2,80.5,4.7,5.7,NA,42129807300
1971,61.2,75.2,1.4,4.6,NA,42129807401
2230,96.3,84,0,4.2,NA,42129807403
5680,56,76.1,11.7,4.9,18,42129807404
1973,61.9,72.1,10.8,3.3,NA,42129807500
2720,46.8,91.8,1.5,0.4,70.8,42129807600
3195,69.2,75.1,4.1,3.7,43.5,42129807700
3754,68,92.5,2.5,1.8,11.1,42129807800
3332,85.6,91.4,2.8,2.7,NA,42129807901
3028,80,91.6,1.3,3.7,100,42129807902
4257,62.1,90,2,1.8,49.4,42129808100
2317,68.8,80.8,0.9,4.7,NA,42129808200
4901,75.7,81.7,2.9,4.1,17.6,42129808300
1859,61.5,84.6,1.5,6.3,NA,42129808401
3587,87.6,89.6,0.4,3.3,73.1,42129805000
4672,75.5,85.1,1.4,8.1,NA,42129808402
1381,94.8,62.8,12.8,15.3,NA,42129808500
